alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
founding-farmers-washington-washington-2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 38.90029, 'longitude': -77.04442}",(202) 822-8783,1715.3084483552204,VA8aPObRynlwR1TGzbzraQ,https://s3-media2.fl.yelpcdn.com/bphoto/AWpidG8KMEEIRmqiKEnZHA/o.jpg,False,"{'address1': '1924 Pennsylvania Ave NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20006', 'country': 'US', 'state': 'DC', 'display_address': ['1924 Pennsylvania Ave NW', 'Washington, DC 20006']}",Founding Farmers - Washington,+12028228783,$$,4.0,12832,[],https://www.yelp.com/biz/founding-farmers-washington-washington-2?adjust_creative=ea9KL2MCxdAS19D4hvjY0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ea9KL2MCxdAS19D4hvjY0A
old-ebbitt-grill-washington,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 38.898005, 'longitude': -77.033362}",(202) 347-4800,1496.279982474307,iyBbcXtQSBfiwFQZwVBNaQ,https://s3-media3.fl.yelpcdn.com/bphoto/_3geLjiSmV_ccdnci4e9kQ/o.jpg,False,"{'address1': '675 15th St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20005', 'country': 'US', 'state': 'DC', 'display_address': ['675 15th St NW', 'Washington, DC 20005']}",Old Ebbitt Grill,+12023474800,$$,4.0,7879,[],https://www.yelp.com/biz/old-ebbitt-grill-washington?adjust_creative=ea9KL2MCxdAS19D4hvjY0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ea9KL2MCxdAS19D4hvjY0A
baked-and-wired-washington,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]","{'latitude': 38.9039128490789, 'longitude': -77.0602477800762}",(202) 333-2500,2690.1563144017964,Es64Je53efmpWh-BXHjguQ,https://s3-media3.fl.yelpcdn.com/bphoto/nKJIkmnfYUlKsQ0d4MlNGw/o.jpg,False,"{'address1': '1052 Thomas Jefferson St NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20007', 'country': 'US', 'state': 'DC', 'display_address': ['1052 Thomas Jefferson St NW', 'Washington, DC 20007']}",Baked & Wired,+12023332500,$$,4.5,4264,[],https://www.yelp.com/biz/baked-and-wired-washington?adjust_creative=ea9KL2MCxdAS19D4hvjY0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ea9KL2MCxdAS19D4hvjY0A
