id,name,rating,review_count,open_pass_midnight,state
0ZswnaP3SZj1X_-EJaiMcA,Chen Sunny's,2.5,7,True,DC
0aCrgRP_1qo4hH76Ad4oJw,Subway,2.5,12,False,DC
0aLVeQikS7200jvvXbKdbA,&pizza,4.5,508,True,DC
0beQu4iJZMjkZGFtUbtZqg,James Hoban's Irish Restaurant & Bar,3.0,401,True,DC
0e4k-iuTRWhRuFwpBVwV6A,Feelin' Crabby,3.5,100,False,DC
0gOgTN0PTDg_PTls1gZUrQ,An Uncommon Cafe,2.5,30,False,DC
0hG5jP7xAkF5hmz90loJGA,Le Pain Quotidien,3.0,240,False,DC
0jL-hM2lDXqEe02w1d6dgQ,CAVA,4.0,22,False,DC
0jM39MEuDpGxCHUS662dqQ,Eat First Restaurant,3.0,274,False,DC
0k8Flxj4LYElTgUNjDB-nA,Dino's Grotto,4.0,311,False,DC
0lJKozwXcCUL4TLcUIj84g,Indigo Food Stand  - Eastern Market,4.5,19,False,DC
0pA0sKY72rcavRmKIhjs4g,Cosi,3.0,56,False,DC
0qzwOlz7WOHVrUxzMlI-IQ,Einstein Bros Bagels,2.5,37,False,DC
0s2ySKW18LoPhKa2yM5f-g,Asefu's Restaurant & Bar,1.0,3,False,DC
0sHkBlkZI6Ye93xEYgicJA,Popeyes Louisiana Kitchen,4.0,2,False,DC
0tRQjjT4WfbWJd91to0Peg,Teaism Penn Quarter,3.5,748,False,DC
0u4lDW8btwxv0xBRSiyUog,Chupacabra Latin Kitchen & Taqueria,3.5,180,False,DC
0uHNkVtJGmQP-Bl86EfHPg,Devon & Blakely,3.5,73,False,DC
0vZNEMGn9f9PXd9nhNRlbA,Colony Club,4.5,155,False,DC
0wQdkW6r2UzfVZ2B1Y-H7Q,The Deli at Watergate,4.5,63,False,DC
0xFQkbtesFel_vBciQKdrQ,Tropic Burger,5.0,10,False,DC
0xSNNMMn0u9arUiNsk6MjQ,Triple B Fresh,4.0,332,False,DC
0x_zk42Hux7ESuSdmDID6g,Navy Mess & Ward Room,5.0,3,False,DC
0zmtO6O41XCw2TXQA7J6Dg,Blue Smoke - Nationals Park,2.5,31,False,DC
1-YHmrNu0gdy9X2GWqkIUQ,Jersey Mike's Subs,4.0,55,False,DC
10-zwHrW7F0ckvYd_Fni0w,Swizzler Burger Truck,5.0,1,False,DC
126U1jw6Xs66zB6SXP43wQ,Point Chaud Cafe & Crepes,3.0,6,False,DC
13Zgq4zFxtJMSFIHGZ-Tdg,GRK FRESH,3.5,74,False,DC
14whDsYM570e_JCGN2aP4Q,West Wing Cafe,4.0,240,False,DC
