id,name,rating,review_count,open_pass_midnight,state
1BLgF6umazMYcEpnFuX3AQ,Jasons Sub Shop,2.0,12,False,MD
1HQvtXckayT7XCAdDfpY4g,Go Stir Fry Express,3.0,8,False,MD
1Hr7HGdcbGlSoVk4LCcbwA,Subway,3.0,6,False,MD
1KWPppmtRGK3WdgmX7ak6w,Sushiko Chevy Chase,3.5,372,False,MD
1Squa10kKVdgdWyqyEC54A,Leon's Barbeque,3.5,67,False,MD
1W0Nf-8eKMqkFlbi7TOO8Q,ZZ Pizza & Kabob,3.5,35,False,MD
1cnr9YKZ6Dyt5mzwFNxE3Q,Eddie Leonard Carry Out,3.0,8,False,MD
1e9tlCjLcTSu0QYD0bojpA,Subway,2.5,3,False,MD
1f0gkQKJdt7CKD5TlVpAVA,Burger King,2.0,20,False,MD
1gEoCM4tU1g_gyriD2J0kA,Cornucopia,4.0,98,False,MD
1gJj2U8D_ZW2trTvAynUBg,Hinata Sushi Carry Out,4.5,134,False,MD
1jFVm1o2ibHZBQM4QoCLWg,Golden Samovar,4.0,137,False,MD
1kvoaRylOJ2fbL2zSR4guQ,The 4 Corners Pub,4.0,113,True,MD
1mFjQ6O0eB_yhr8o62Romw,Puerto El Triunfo,1.0,2,False,MD
1ocY6fIqkXOvbONn4LwXsQ,Kenny's Sub Shop,3.0,113,False,MD
1tdVFAPruGP6HMZrTeAqPw,Chipotle Mexican Grill,3.0,52,False,MD
1vVDBE3YoSLzVhtQ4PA_zg,Aji-Nippon Restaurant,3.5,68,False,MD
1w1X6xl83OIE8dcJS7A1FQ,Subway,1.0,12,False,MD
1w9uwSJsQOsHVOga9KSJPQ,Sweet Tooth Cakes and Pastries,4.5,55,False,MD
1wJGwfEnfu8tSnCCzR1QFA,Sweet & Natural,4.5,173,False,MD
1xg7AXQmnhjdvHoIZOR8Og,McDonald's,2.0,34,True,MD
1zmdQVupIXPm1di6KplrGg,Montrose Deli,4.5,9,False,MD
2-52e2G_56eGFBAyJvyL8A,Pupuseria Olocuilta,4.5,13,False,MD
2-jzwUHzogUmKirh4PhTew,Vocelli Pizza,3.0,26,False,MD
23Z6Ka4M2mVQf2uwPk7rrw,Ruby Tuesday,1.5,82,False,MD
2550QS4kZelG05qvsAn3cA,Johnny Rockets,1.5,4,False,MD
28zGYjDKjDCPOTWWO11NHw,McDonald's,1.5,42,True,MD
298_2BlF7sqUMnEo8W7XLQ,Marathon Deli,4.5,315,True,MD
2EtZF4zjRvtDhLzfb9VkGw,El Riconcito Latino,3.0,2,False,MD
2EwEM1IbMmQimcwTmE-LPw,Papa John's,1.5,16,False,MD
2GqvSuIZfL0RB7_fqBGcGg,House of Lee Restaurant & Carry Out,3.0,29,False,MD
2IeqvmV_ayE35Xfirovb8g,Popeye's,2.5,7,False,MD
2KmoZ5cdEADfeKsp-0wMGA,Banana Blossom Bistro,4.5,45,False,MD
2NCvKlsRspRG_YUduItulg,Lotsa Stone Fired Pizza,3.5,41,True,MD
2OjXYDFeHMPdTkmAn6gxEg,Fish Depot,1.5,2,False,MD
2QEkezjesQWy9gzxguHFsA,Subway,4.5,5,False,MD
2WDKgHadXr0PIWyyzXPlIw,McDonald's,2.0,16,True,MD
2WodP4LUXRM3ePsmYy3U4A,El Dorado Tacos Cafe,5.0,3,False,MD
2ZjTqB3pFcqLFk8BKwVAEQ,"Eddy""s Chinese Food",3.5,4,False,MD
2adR6b2k-Po50R2CiDn0vg,Teamania,4.0,103,False,MD
2bmZyxgkEI9_YHWY-0MJrw,Pollo Cabana,3.5,113,False,MD
2hVKeSf2wl60VoYfCbSbGg,Slapfish,4.0,448,False,MD
2jo9FL4T2sXU_tbgtRJI8A,Señor Chicken,4.5,3,False,MD
2n3YjnjS67mCa-ETytUKxA,Outback Steakhouse,2.0,190,False,MD
2nHpSU-S-ENVisWW4I5tUw,The Perfect Pita,3.5,9,False,MD
2olOTJh7T9sOQprBD_3M9A,Papa John's,2.0,4,False,MD
2r8vepMx-Fg6oRS5mOJdFA,Pizza Boli's,3.0,17,False,MD
2rC7G4rXYmrwDz2dR0Nsew,Middle Eastern Cuisine,4.0,180,False,MD
2sBOJkIMMj3QaSfi3O77eA,Caddies On Cordell,3.0,163,True,MD
2zPLTD1C7oxZiie_lxLdUg,El Sombrerito Tex Mex,4.0,28,False,MD
3-zpYxx6zmEMwiN4C3XOUA,Matchbox - Rockville,3.5,1046,False,MD
30GlLGmcMko9QFo9Qlhlmw,Old Dominion Brewhouse,3.5,121,False,MD
30LIzU5gmjJ8EqQPaqRNCQ,DC Charbroiled Chicken & Grill,4.0,16,False,MD
31rtObk-eXjyh-VTu63seg,Domino's Pizza,1.0,29,True,MD
35S7aHvsiLgIwgQjQd5byQ,Potbelly Sandwich Shop,3.5,70,False,MD
361TL_CyO-4CuR4_KN7pKQ,Seafood In the Buff,2.5,67,False,MD
3FtiEY9GuDd_JPOWmEZCKw,sweetgreen,3.5,12,False,MD
3K-Dl6ejy7OBE-C7Yxz43w,Glen Echo Cafe,4.0,3,False,MD
3OfmL7g8UJUfziv5P_dPSg,Subway,3.0,12,True,MD
3S6NpAtTKJ9iTs7t6jRkXA,Pizza Hut,2.0,13,False,MD
3SXyjSCagndLktgxLDc6sg,Manny & Olga's Pizza,2.5,103,True,MD
3TrgKOZY16iTLtq7SPPbWQ,Domino's Pizza,2.5,20,True,MD
3TsoUs-nAR_bEoJJasCehA,Le Pain Quotidien,3.0,25,False,MD
3X3DzdKM7tcF_wmCtgKdbw,Zene's Deli & World Market,2.5,3,False,MD
3YK9x5aOrHxE27WKzGSw2g,Sheger Spring Cafe,2.5,16,True,MD
